"name","sA","rA","sC","rC","sG","rG","sH","rH"
"Somdev Devvarman","59.8472","37.5477","57.606","37.5887","58.6428","31.7529","60.5576","38.1673"
"Francisco Clavet","60.3389","40.818","59.6351","42.3076","61.4218","38.5874","61.4432","39.0844"
"Adrian Mannarino","60.8556","36.2351","55.6629","36.2541","62.7684","35.5781","61.6229","36.367"
"Ivo Karlovic","72.3855","28.5375","69.2657","29.1696","74.9648","28.4296","72.5617","28.5244"
"Nicolas Mahut","64.5163","34.0542","59.2613","35.2036","68.8042","34.2494","63.5203","34.0601"
"Younes El Aynaoui","64.509","35.8188","63.1567","38.5452","66.5693","35.2829","65.5634","33.2724"
"Jakob Hlasek","63.6337","37.3194","59.558","37.6636","65.7236","38.1297","63.7542","37.3038"
"Amos Mansdorf","62.1712","38.4416","57.4548","37.0629","61.8132","35.4283","62.5699","40.0255"
"Brett Steven","62.1602","38.2992","57.6837","38.3009","64.1394","38.6888","62.1264","38.7577"
"Victor Hanescu","63.4354","35.59","63.0655","37.7008","65.1647","32.0785","63.381","33.8313"
"Jonathan Stark","65.2162","35.7062","62.9032","33.4821","67.8654","34.4904","64.5104","36.6314"
"Marsel Ilhan","61.3819","33.5509","60.4704","35.9375","62.894","35.1506","61.4414","31.7474"
"Goran Prpic","59.3759","41.4958","58.2326","43.4395","64.4706","35.0951","61.3428","39.3918"
"Ivo Minar","60.9851","35.1182","59.8503","36.4727","62.3188","32.9642","61.5535","34.7841"
"Chris Woodruff","62.4279","38.3092","59.1233","40.8651","63.4783","36.4952","63.1816","37.8603"
"Lukas Rosol","62.1943","34.5976","62.3424","36.7975","67.1654","30.0826","61.2378","33.6752"
"Henri Leconte","62.0199","38.3212","59.3605","37.9442","67.045","38.6792","59.7414","39.0353"
"Marc Gicquel","62.6382","36.0648","59.8224","37.6271","64.5725","33.9923","62.9467","36.0237"
"Gilles Muller","66.1668","30.8993","60.7058","32.157","68.2744","28.4006","66.8561","31.2922"
"Paradorn Srichaphan","64.2848","36.1784","56.6211","35.6686","64.2819","35.0289","65.1415","36.4996"
"Michael Russell","59.2713","37.2023","55.5488","36.7697","60.6611","36.3702","60.0214","37.5421"
"Andrey Golubev","60.8959","34.6729","59.4226","36.6108","59.6629","27.2848","61.8311","34.4588"
"Ruben Ramirez Hidalgo","58.0722","37.267","58.814","38.7661","58.7089","28.2579","55.2158","33.932"
"Shuzo Matsuoka","65.0187","35.2856","62.2496","39.889","68.0011","33.6525","63.9448","36.0417"
"Robert Kendrick","62.8891","33.0593","58.8291","31.074","63.5086","30.3127","63.4002","34.0362"
"Rajeev Ram","62.8239","32.7388","55.6452","30.6931","65.6911","33.4611","62.0737","32.5417"
"Dustin Brown","63.912","33.3103","63.3764","33.8742","66.403","31.3682","62.7953","34.0203"
"Michael Llodra","65.1093","34.5276","60.0745","33.9348","68.8462","36.3783","65.639","34.2341"
"Anders Jarryd","61.6964","39.1935","54.8268","38.6503","60.6089","38.6959","60.1401","36.7359"
"Sjeng Schalken","62.0176","38.5519","58.5361","40.8524","64.713","38.0128","62.6354","37.9589"
"Benjamin Becker","64.0522","33.7507","60.1086","31.7115","67.4074","34.2726","63.822","33.9966"
"Andrei Pavel","62.2335","38.3215","60.783","40.6304","63.1172","37.0175","62.4864","37.7003"
"Daniel Gimeno-Traver","61.0177","35.7302","61.0907","37.2737","59.148","29.3993","61.4123","33.7134"
"Donald Young","59.4636","36.9916","57.1514","37.4441","59.6394","35.323","59.7858","37.1406"
"Martin Verkerk","65.8623","32.5404","64.1677","35.6516","67.0935","26.2363","66.9191","29.8693"
"Igor Andreev","63.6253","36.9593","63.0296","39.1698","65.32","33.6631","63.9527","35.2362"
"Jeremy Chardy","64.1032","35.3255","62.4773","37.7829","67.8016","31.9197","64.5114","34.2298"
"Evgeny Korolev","61.2243","36.7699","59.47","37.202","61.5123","33.7568","61.9747","37.2469"
"Slava Dosedel","58.9095","41.6698","58.0981","43.4944","59.6966","38.1137","60.3144","39.435"
"Derrick Rostagno","61.8623","38.4118","58.0835","38.5845","63.2065","39.3796","61.5662","38.5133"
"Marcel Granollers","60.7361","37.8504","59.4541","39.6001","64.7931","34.1218","61.526","36.4422"
"Bobby Reynolds","61.3224","33.0353","61.4713","32.7027","61.3749","31.4414","61.2923","33.4194"
"Simone Bolelli","64.1228","33.763","63.472","36.0838","64.7031","29.9948","64.4322","32.5797"
"Andres Gomez","60.9522","38.9382","59.5924","39.2365","0","0","61.6246","38.4354"
"Mariano Puerta","62.7845","37.062","63.0219","38.7823","57.8348","33.1361","62.1014","32.2468"
"Kenny De Schepper","64.2116","29.9501","60.0418","31.2645","68.7197","28.9244","63.9712","29.818"
"Potito Starace","61.5391","36.4847","62.0605","38.2753","56.7845","26.0811","60.8035","33.1173"
"Mark Woodforde","61.9441","38.7139","60.343","39.6585","64.1495","36.5385","61.7903","39.1084"
"Andreas Seppi","61.7409","37.9357","60.2668","39.9829","63.8622","36.5759","62.1307","36.9633"
"Frederico Gil","59.4819","37.4277","59.2121","39.3606","60","32.0113","59.802","35.4444"
"Jan Hernych","59.2541","37.6845","56.9146","38.7813","61.6367","35.6299","59.1449","38.2971"
"Arnaud Clement","61.8678","36.0399","59.7751","39.1226","64.7705","34.3207","61.6969","35.4152"
"Benoit Paire","60.4388","38.4334","59.0579","39.5915","63.495","36.1386","60.9559","37.9512"
"Jose Acasuso","62.4922","37.4206","62.3906","39.7589","57.4501","25.3165","62.6772","34.0215"
"Darren Cahill","62.4828","37.4912","57.5342","40.7643","62.5806","30.303","61.5582","37.4124"
"Jonas Svensson","59.8325","40.3191","57.0707","41.1969","62.0225","40.7809","61.3447","39.8537"
"Chris Guccione","67.5921","28.4895","61.2626","31.918","69.8849","27.8553","67.7352","28.2416"
"Fabrice Santoro","60.1068","39.8504","58.0326","41.5249","63.2055","37.1812","60.5241","39.5914"
"Emilio Sanchez","61.7371","38.373","60.7414","39.5472","55.4348","28.8256","64","36.946"
"Jan Siemerink","64.2628","35.5432","61.3537","35.5997","64.4339","35.5321","63.9829","35.7473"
"Philipp Petzschner","63.3424","35.6519","61.0154","35.9508","64.7627","34.4468","63.6482","36.0121"
"Teymuraz Gabashvili","60.5662","35.5003","59.2063","37.9327","63.5175","32.2148","60.636","34.8146"
"Daniel Brands","65.5023","31.4494","64.5849","32.2654","67.5676","31.9801","65.6268","30.6927"
"Pablo Andujar","58.5649","39.4479","59.8417","40.8584","53.6613","31.03","56.9026","37.8213"
"Mariano Zabaleta","61.5839","38.5742","61.4203","40.4226","57.5281","30.7125","61.7868","35.619"
"Nicolas Lapentti","61.5756","38.2576","61.0768","39.9001","60.9748","35.7237","61.733","37.0899"
"Max Mirnyi","66.7425","33.1704","63.2857","34.2456","69.0433","34.1805","67.3206","32.5252"
"Bernard Tomic","63.9816","34.3544","59.014","36.0479","67.4022","33.2282","64.3961","34.211"
"Alexander Volkov","61.002","38.7795","56.6059","40.1654","61.376","39.0273","61.0215","39.0553"
"Robin Vik","57.3247","38.8475","55.5294","42.8734","58.0729","33.0508","57.1753","37.3903"
"Alejandro Falla","59.5602","36.9642","59.1264","37.8548","62.5038","33.7263","58.5309","37.6501"
"Christian Bergstrom","59.6133","40.553","57.8737","40.936","58.5496","40.0541","60.1892","41.2038"
"Byron Black","60.8354","39.4136","57.5388","38.5901","61.3258","41.0722","60.8582","39.2586"
"Jerome Golmard","63.0702","36.4646","59.7778","38.0556","63.3002","35.6336","64.7362","36.3645"
"Jaime Yzaga","59.5722","40.4447","58.4601","42.5395","60.2601","39.1478","60.4444","39.3115"
"Henrik Holm","61.7159","37.7183","58.7193","37.3239","65.8676","36.4855","60.897","38.8979"
"Luis Horna","63.1602","35.1716","63.017","37.0291","59.562","26.4755","63.6665","32.9372"
"Simon Greul","59.9181","35.2955","59.6379","35.5238","58.0737","35.0954","60.5811","35.0812"
"Vincent Spadea","60.8876","38.6823","58.3229","40.6797","61.2715","36.5532","61.8612","38.4143"
