name,sA,rA,sC,rC,sG,rG,sH,rH
MaliVai Washington,63.75,39.065,60.776,38.793,66.077,35.539,63.67,39.413
Alex Corretja,62.064,40.638,61.728,42.403,61.632,32.849,62.706,38.372
Radek Stepanek,64.801,38.08,63.386,39.132,66.411,36.26,64.527,37.503
Jiri Vesely,63.271,39.629,63.636,36.28,69.818,28.519,61.123,34.9
Guillermo Canas,62.651,40.386,62.518,42.254,64.834,38.289,62.11,39.489
Petr Korda,62.051,40.583,58.132,41.46,64.661,39.528,62.406,40.199
Roberto Bautista Agut,62.818,39.739,61.22,41.827,65.253,38.151,62.127,38.915
Carlos Moya,63.412,39.196,62.618,41.845,65.243,36.048,64.37,36.974
Fernando Verdasco,64.34,38.462,62.858,40.31,67.35,35.199,64.533,37.767
Mark Philippoussis,67.301,35.079,63.466,37.296,70.815,33.692,67.502,34.669
James Blake,63.613,38.68,61.32,39.155,63.795,36.027,63.873,38.732
Aleksandr Nedovyesov,63.835,38.753,62.433,33.556,65.6,32.09,55.556,20.379
Fernando Gonzalez,65.414,36.986,64.283,39.61,69.105,32.173,65.293,35.671
Gael Monfils,64.127,38.661,61.932,40.558,67.62,35.962,64.506,37.955
Carlos Berlocq,61.248,41.302,60.566,41.502,61.42,31.174,58.583,37.242
Tommy Robredo,63.367,39.238,62.623,41.662,65.442,35.219,63.512,37.452
Wayne Ferreira,63.684,38.815,61.456,39.803,65.337,39.109,63.989,38.149
Marat Safin,65.053,37.594,63.01,39.656,67.037,34.606,65.948,36.751
Andrei Medvedev,61.903,40.529,61.146,42.421,64.106,36.602,62.287,39.298
Rui Machado,59.918,42.44,57.634,39.865,54.808,25.301,56.346,33.992
Thiemo de Bakker,65.035,37.425,61.68,35.469,66.486,30.247,63.61,32.889
Pere Riba,61.753,40.348,57.891,37.213,60.452,25.845,57.243,32.993
Xavier Malisse,63.982,38.555,59.743,39.59,66.977,37.81,63.874,37.982
Mardy Fish,65.374,36.934,62.088,37.487,68.532,35.359,65.518,37.14
Tim Smyczek,61.763,40.588,54.701,34.874,60,34.199,60.354,37.762
Matthias Bachinger,63.846,38.7,59.39,37.257,62.575,30.544,64.52,35.785
